hkl,_refln_intensity_meas,_refln_intensity_sigma,G-vector Length,Intensity,orientation
-3 -1 -3,0.025654726237585492,0.0005888992456960829,1.0165195141325785,0.0003290168,20
-2 -1 -3,0.010525250126600305,0.0004166467447118834,0.8450668548136232,3.5719015e-05,20
-7 -1 -2,0.00165148699818866,0.0001955717557186656,1.6770892878217525,2.0588855e-06,20
-6 -1 -2,0.0066670054573161825,0.00029784300885925025,1.4701231786633508,4.0685877e-06,20
-5 -1 -2,0.008187829481343141,0.0003413347105392417,1.2651629528969786,4.5509492e-05,20
-4 -1 -2,0.2252295502347472,0.001306160068812702,1.0633691222457868,0.005572188,20
-7 -1 -1,0.0011855246090232223,0.00016917614411590624,1.575939781461024,7.6126975e-07,20
-6 -1 -1,0.0001845579284573719,0.0001800255858956881,1.364915130630732,3.6693314e-06,20
3 0 -1,0.14155510919939668,0.0010085753799958276,0.5948881936631966,1.6841976e-07,20
4 0 -1,0.0005606014592358293,0.0002159555554261346,0.8004458885045586,1.3524523e-05,20
5 0 -1,0.007427476178430202,0.00028131052614720166,1.0090969892487285,7.165891e-07,20
6 0 -1,4.912777533182619e-05,0.0001332931418658917,1.2192544044705556,1.1015204e-06,20
-7 -1 0,0.0022986726389008006,0.00018399432109218842,1.4934173432996551,1.1356708e-07,20
-1 0 0,0.006884463965716139,0.0009359874480882391,0.2130040560916679,7.913768e-05,20
1 0 0,0.0059539012385177925,0.0008746246962038883,0.2130040560916679,0.00018835002,20
2 0 0,0.17864521752379292,0.0011887888350132435,0.4260081121833359,0.00037051167,20
3 0 0,0.004251689577462619,0.00032975727591276445,0.639012168275004,2.0145077e-05,20
4 0 0,0.00872478291488148,0.00037010216980381486,0.8520162243666719,1.8455942e-06,20
5 0 0,0.0010848972106977564,0.00021304358403935334,1.0650202804583395,8.412596e-08,20
6 0 0,0.0008006747131637733,0.0001499195591388042,1.278024336550008,1.06984416e-07,20
-5 0 1,0.010493969917832623,0.0003170995938363523,1.0090969892487285,1.949983e-06,20
-4 0 1,0.0008164792030291267,0.0002173645738390933,0.8004458885045584,5.8254966e-07,20
-3 0 1,0.09870700016316433,0.0008537007727714519,0.5948881936631963,5.2143596e-06,20
-2 0 1,0.00016959884963979385,0.00036326843050096526,0.3972552848218311,0.00014274902,20
6 0 1,0.00030932650892486353,0.00016241285573370453,1.3623004653229611,7.940162e-08,20
-7 0 2,0.0001724403701059272,0.0001200014015036481,1.3942167833073604,1.6737867e-07,20
-6 0 2,0.0001070149484642122,0.00013589982592986525,1.189776387326393,1.805754e-07,20
-5 0 2,-1.5099980658873917e-05,0.00017413119220147764,0.9889573907130516,9.626462e-06,20
-4 0 2,0.008077127601365018,0.0003044419117599401,0.7945105696436621,6.7843786e-07,20
-7 0 3,0.00035704526584373104,0.00012190357636114231,1.384848367500869,2.3489343e-07,20
-6 0 3,2.3037451051874517e-05,0.00011765303748205028,1.1917658544654932,4.066933e-06,20
-7 0 4,4.92217098926901e-05,0.00010844745051738687,1.4026835046066346,7.2326037e-07,20
2 1 4,0.043853396706597936,0.0005999600402378085,1.0202038943665506,2.2887583e-07,20
3 1 4,0.029053959675208105,0.0005196459906991634,1.1793063035127662,0.00014743577,20
4 1 4,0.008731874974226705,0.0003997854910368112,1.3533115623359675,0.00011324802,20
5 1 4,0.008293036189510722,0.0005964374942054117,1.5371670266508115,0.0006348844,20
6 1 4,0.0007775902948314668,0.00024014370484859207,,,20
-3 1 5,0.003422740561478808,0.00021884404317269992,0.949085467547414,1.0205129e-06,20
-2 1 5,0.006124322015565144,0.0002467191241090659,0.9098223754862612,1.996937e-06,20
-1 1 5,0.01118239283076402,0.00031038327273458254,0.9195279990213666,4.4422556e-08,20
0 1 5,0.0013934957267759244,0.00018181034255210246,0.9767436628184586,2.0928992e-06,20
1 1 5,0.008618989115708499,0.00029981563463739243,1.073902267690502,9.030151e-08,20
2 1 5,0.00044494453117213705,0.00017377893759823796,1.2013515031282864,2.825184e-06,20
3 1 5,0.002018160556520942,0.00021691838467498972,1.3505429439338046,1.4721951e-06,20
4 1 5,0.000670176124483583,0.0002096384562080365,1.5150671630568684,2.6843422e-06,20
5 1 5,0.002882663803791744,0.0002930758298954067,1.6904532615721717,1.1590865e-06,20
-6 1 6,0.0007041804355163194,0.00013481957847993027,1.3770129863722982,1.7299702e-05,20
-5 1 6,0.003915497784130677,0.00020031545104229318,1.2576674303293525,9.503502e-09,20
-4 1 6,0.03743151348585613,0.0005230746021706962,1.1653460523842358,1.0568678e-05,20
-3 1 6,0.015611665695539866,0.000345326929375958,1.106831935809052,8.742627e-08,20
-2 1 6,0.005739519086986128,0.00023199488169364766,1.0875954681172175,1.8795715e-06,20
-1 1 6,0.004077135679737254,0.00021060128545689162,1.1096811822475907,1.7375457e-07,20
0 1 6,0.000853512903649724,0.0001573169058068373,1.170752837290056,7.2574795e-07,20
1 1 6,0.009349072006383042,0.000291643327842232,1.2651772767616507,1.1471318e-09,20
2 1 6,0.00011626750270930758,0.0001310621960453738,1.386155234116418,1.738997e-07,20
3 1 6,0.0016126450572714322,0.0001798142331337443,1.5273901205408076,3.076646e-06,20
-7 1 7,0.00019982229459775767,9.928883083315541e-05,1.6057132460531451,2.6751656e-10,20
-6 1 7,0.00032588247527712814,9.684653225069369e-05,1.4845570421231142,6.223248e-07,20
-5 1 7,0.0015498967706143387,0.00013150838520947737,1.3857292844950406,1.0280247e-06,20
-4 1 7,0.00013451429115712257,0.00010670966114140448,1.3142766620160111,1.9285592e-06,20
-3 1 7,0.005897822305682036,0.00022694589904721237,1.2748106112500657,1.1087412e-05,20
