# h  k  l  lp
  -4   -2   -3  0.014760
  -4   -2   -2  0.014637
  -4   -2   -1  0.014565
  -4   -2    0  0.014544
  -4   -2    1  0.014575
  -4   -2    2  0.014657
  -4   -2    3  0.014790
  -4   -2    4  0.014972
  -4   -2    5  0.015201
  -4   -2    6  0.015475
  -4   -2    7  0.015793
  -4   -2    8  0.016151
  -4   -2    9  0.016547
  -4   -2   10  0.016977
  -4   -2   11  0.017441
  -4   -2   12  0.017934
  -4   -2   13  0.018455
  -4   -2   14  0.019001
  -4   -2   15  0.019571
  -4   -2   16  0.020162
  -4   -2   17  0.020772
  -4   -2   18  0.021400
  -4   -2   19  0.022044
  -4   -2   20  0.022703
  -4   -2   21  0.023376
  -4   -2   22  0.024061
  -4   -2   23  0.024757
  -4   -3  -10  0.017330
  -4   -3   -9  0.016922
  -4   -3   -8  0.016549
  -4   -3   -7  0.016214
