# h  k  l  lp
   6    3   -3  0.023080
   6    3   -4  0.023569
   6    3   -5  0.024201
   6    3   -6  0.024964
   6    3   -7  0.025847
   6    3   -8  0.026838
   6    3   -9  0.027925
   6    3  -10  0.029097
   6    3  -11  0.030346
   6    3  -12  0.031661
   6    3  -13  0.033035
   6    3  -14  0.034460
   6    2    7  0.026601
   6    2    6  0.025560
   6    2    5  0.024624
   6    2    4  0.023805
   6    2    3  0.023117
   6    2    2  0.022571
   6    2    1  0.022178
   6    2    0  0.021945
   6    2   -1  0.021879
   6    2   -2  0.021979
   6    2   -3  0.022245
   6    2   -4  0.022670
   6    2   -5  0.023246
   6    2   -6  0.023962
   6    2   -7  0.024805
   6    2   -8  0.025763
   6    2   -9  0.026824
   6    2  -10  0.027976
   6    2  -11  0.029209
   6    2  -12  0.030512
   6    2  -13  0.031877
   6    2  -14  0.033296
   6    1    7  0.026644
   6    1    6  0.025531
   6    1    5  0.024518
   6    1    4  0.023618
   6    1    3  0.022842
   6    1    2  0.022205
   6    1    1  0.021719
   6    1    0  0.021395
   6    1   -1  0.021238
   6    1   -2  0.021254
   6    1   -3  0.021442
   6    1   -4  0.021797
   6    1   -5  0.022312
   6    1   -6  0.022976
   6    1   -7  0.023775
   6    1   -8  0.024698
   6    1   -9  0.025730
   6    1  -10  0.026860
   6    1  -11  0.028075
   6    1  -12  0.029364
   6    1  -13  0.030719
   6    1  -14  0.032131
   6    0    6  0.025557
   6    0    5  0.024469
   6    0    4  0.023487
   6    0    3  0.022624
   6    0    2  0.021896
   6    0    1  0.021316
   6    0    0  0.020895
   6    0   -1  0.020645
   6    0   -2  0.020571
   6    0   -3  0.020675
   6    0   -4  0.020954
   6    0   -5  0.021402
   6    0   -6  0.022008
   6    0   -7  0.022759
   6    0   -8  0.023643
   6    0   -9  0.024643
   6    0  -10  0.025748
   6    0  -11  0.026944
   6    0  -12  0.028219
   6    0  -13  0.029563
   6    0  -14  0.030968
   6   -1    5  0.024476
   6   -1    4  0.023414
   6   -1    3  0.022466
   6   -1    2  0.021646
   6   -1    1  0.020970
   6   -1    0  0.020451
   6   -1   -1  0.020103
   6   -1   -2  0.019933
   6   -1   -3  0.019947
   6   -1   -4  0.020143
   6   -1   -5  0.020518
   6   -1   -6  0.021061
   6   -1   -7  0.021759
   6   -1   -8  0.022599
   6   -1   -9  0.023565
   6   -1  -10  0.024642
   6   -1  -11  0.025817
   6   -1  -12  0.027076
   6   -1  -13  0.028409
   6   -1  -14  0.029805
   6   -2    4  0.023400
   6   -2    3  0.022368
   6   -2    2  0.021458
   6   -2    1  0.020685
   6   -2    0  0.020066
   6   -2   -1  0.019616
   6   -2   -2  0.019346
   6   -2   -3  0.019263
   6   -2   -4  0.019370
   6   -2   -5  0.019665
   6   -2   -6  0.020138
   6   -2   -7  0.020778
   6   -2   -8  0.021569
   6   -2   -9  0.022496
   6   -2  -10  0.023543
   6   -2  -11  0.024694
   6   -2  -12  0.025936
   6   -2  -13  0.027256
   6   -2  -14  0.028643
   6   -3    4  0.023445
   6   -3    3  0.022331
   6   -3    2  0.021332
   6   -3    1  0.020464
   6   -3    0  0.019744
   6   -3   -1  0.019188
   6   -3   -2  0.018813
   6   -3   -3  0.018628
   6   -3   -4  0.018639
   6   -3   -5  0.018846
   6   -3   -6  0.019242
   6   -3   -7  0.019817
   6   -3   -8  0.020554
   6   -3   -9  0.021438
   6   -3  -10  0.022451
   6   -3  -11  0.023576
   6   -3  -12  0.024798
   6   -3  -13  0.026104
   6   -3  -14  0.027481
   6   -4    3  0.022356
   6   -4    2  0.021271
   6   -4    1  0.020308
   6   -4    0  0.019486
   6   -4   -1  0.018825
   6   -4   -2  0.018340
   6   -4   -3  0.018047
   6   -4   -4  0.017955
   6   -4   -5  0.018066
   6   -4   -6  0.018378
   6   -4   -7  0.018880
   6   -4   -8  0.019557
   6   -4   -9  0.020393
   6   -4  -10  0.021368
   6   -4  -11  0.022464
   6   -4  -12  0.023665
   6   -4  -13  0.024955
   6   -5    2  0.021274
   6   -5    1  0.020219
   6   -5    0  0.019297
   6   -5   -1  0.018528
   6   -5   -2  0.017932
   6   -5   -3  0.017525
   6   -5   -4  0.017323
